episode_id,stage,material,thickness_mm,gas,power_kw,speed_m_min,air_pressure_mpa,focus_mm,A_level,B_level,C_level,D_level,nozzle_height_mm,nozzle_diameter_mm,path_type
LC_CS30_AIR_L9_0001,orthogonal_L9,carbon_steel,30,air,48,0.6,1.2,-6,1,1,1,1,1.0,4.0,straight_line
LC_CS30_AIR_L9_0002,orthogonal_L9,carbon_steel,30,air,48,0.9,1.5,-9,1,2,2,2,1.0,4.0,straight_line
LC_CS30_AIR_L9_0003,orthogonal_L9,carbon_steel,30,air,48,1.2,1.8,-12,1,3,3,3,1.0,4.0,straight_line
LC_CS30_AIR_L9_0004,orthogonal_L9,carbon_steel,30,air,54,0.6,1.5,-12,2,1,2,3,1.0,4.0,straight_line
LC_CS30_AIR_L9_0005,orthogonal_L9,carbon_steel,30,air,54,0.9,1.8,-6,2,2,3,1,1.0,4.0,straight_line
LC_CS30_AIR_L9_0006,orthogonal_L9,carbon_steel,30,air,54,1.2,1.2,-9,2,3,1,2,1.0,4.0,straight_line
LC_CS30_AIR_L9_0007,orthogonal_L9,carbon_steel,30,air,60,0.6,1.8,-9,3,1,3,2,1.0,4.0,straight_line
LC_CS30_AIR_L9_0008,orthogonal_L9,carbon_steel,30,air,60,0.9,1.2,-12,3,2,1,3,1.0,4.0,straight_line
LC_CS30_AIR_L9_0009,orthogonal_L9,carbon_steel,30,air,60,1.2,1.5,-6,3,3,2,1,1.0,4.0,straight_line
